time, altitude, velocity
0,3.4145e+05,-21.728
0.01,3.4301e+05,-21.038
0.02,3.4457e+05,-20.808
0.04,3.477e+05,-20.501
0.04,3.477e+05,-20.501
0.042,3.4801e+05,-20.501
0.05,3.492e+05,-20.501
0.06,3.5069e+05,-20.616
0.07,3.5217e+05,-20.731
0.08,3.5366e+05,-21.114
0.085,3.544e+05,-20.961
0.09,3.5535e+05,-20.808
0.1,3.5724e+05,-20.501
0.11,3.5913e+05,-20.195
0.12,3.6102e+05,-20.118
0.13,3.6292e+05,-20.731
0.131,3.631e+05,-20.804
0.14,3.6463e+05,-21.459
0.15,3.6633e+05,-21.038
0.16,3.6802e+05,-20.425
0.17,3.6972e+05,-20.616
0.174,3.7039e+05,-20.739
0.18,3.7132e+05,-20.923
0.19,3.7288e+05,-20.846
0.2,3.7443e+05,-20.808
0.21,3.7598e+05,-20.118
0.217,3.7706e+05,-20.199
0.22,3.7757e+05,-20.233
0.24,3.8097e+05,-20.731
0.24,3.8097e+05,-20.731
0.25,3.8267e+05,-20.31
0.26,3.8436e+05,-20.54
0.27,3.8606e+05,-20.616
0.28,3.8775e+05,-20.003
0.29,3.8945e+05,-20.233
0.3,3.9115e+05,-19.927
0.302,3.9149e+05,-20.026
0.31,3.93e+05,-20.425
0.32,3.9488e+05,-20.233
0.33,3.9677e+05,-20.233
0.34,3.9865e+05,-20.118
0.345,3.996e+05,-19.754
0.35,4.0027e+05,-19.39
0.36,4.0162e+05,-20.731
0.37,4.0297e+05,-20.233
0.38,4.0432e+05,-20.003
0.388,4.054e+05,-20.095
0.39,4.0574e+05,-20.118
0.4,4.0744e+05,-20.731
0.41,4.0914e+05,-20.54
0.42,4.1084e+05,-20.31
0.43,4.1254e+05,-20.118
0.431,4.1271e+05,-20.045
0.44,4.1407e+05,-19.39
0.45,4.1558e+05,-19.927
0.46,4.1709e+05,-20.233
0.47,4.186e+05,-20.118
0.473,4.1905e+05,-19.992
0.48,4.2033e+05,-19.697
0.49,4.2216e+05,-19.927
0.5,4.2399e+05,-19.927
0.51,4.2582e+05,-19.773
0.516,4.2692e+05,-19.474
0.52,4.2756e+05,-19.275
0.53,4.2916e+05,-19.773
0.54,4.3076e+05,-19.467
0.55,4.3236e+05,-19.275
0.559,4.338e+05,-19.172
0.56,4.3395e+05,-19.16
0.57,4.3545e+05,-18.854
0.58,4.3695e+05,-19.16
0.59,4.3845e+05,-19.467
0.6,4.3995e+05,-19.352
0.602,4.4025e+05,-19.352
0.61,4.4155e+05,-19.352
0.62,4.4317e+05,-19.658
0.63,4.448e+05,-19.812
0.64,4.4642e+05,-19.39
0.645,4.4723e+05,-19.524
0.65,4.4803e+05,-19.658
0.66,4.4961e+05,-19.582
0.67,4.5119e+05,-19.582
0.68,4.5278e+05,-19.39
0.688,4.5404e+05,-19.206
0.69,4.5436e+05,-19.16
0.7,4.5593e+05,-19.582
0.71,4.5751e+05,-19.582
0.72,4.5908e+05,-19.697
0.73,4.6065e+05,-19.467
0.733,4.6113e+05,-19.467
0.74,4.624e+05,-19.467
0.75,4.6421e+05,-19.467
0.76,4.6603e+05,-19.39
0.77,4.6784e+05,-19.467
0.776,4.6893e+05,-19.168
0.78,4.6958e+05,-18.969
0.79,4.7118e+05,-18.854
0.8,4.7278e+05,-18.777
0.81,4.7439e+05,-19.16
0.818,4.7567e+05,-19.099
0.82,4.7597e+05,-19.084
0.83,4.7745e+05,-19.39
0.84,4.7893e+05,-19.16
0.85,4.8042e+05,-18.969
0.86,4.819e+05,-19.16
0.861,4.8205e+05,-19.16
0.87,4.832e+05,-19.16
0.88,4.8447e+05,-19.39
0.89,4.8575e+05,-18.815
0.9,4.8702e+05,-19.084
0.904,4.8753e+05,-19.007
0.91,4.8861e+05,-18.892
0.92,4.9041e+05,-18.969
0.93,4.9221e+05,-19.16
0.94,4.9401e+05,-18.585
0.947,4.9527e+05,-18.8
0.95,4.9573e+05,-18.892
0.96,4.9728e+05,-18.815
0.97,4.9882e+05,-18.7
0.98,5.0036e+05,-18.585
0.989,5.0175e+05,-18.827
0.99,5.0188e+05,-18.854
1,5.032e+05,-18.815
1.01,5.0452e+05,-18.815
1.02,5.0585e+05,-18.585
1.03,5.0717e+05,-18.585
1.032,5.0743e+05,-18.57
1.04,5.0872e+05,-18.777
1.04,5.0872e+05,-18.777
1.05,5.1033e+05,-18.892
1.06,5.1195e+05,-18.815
1.07,5.1356e+05,-18.815
1.075,5.1437e+05,-18.758
1.08,5.1508e+05,-18.7
1.09,5.1651e+05,-18.854
1.1,5.1793e+05,-18.394
1.11,5.1936e+05,-18.279
1.118,5.205e+05,-18.279
1.13,5.2236e+05,-18.585
1.13,5.2236e+05,-18.585
1.14,5.2392e+05,-18.585
1.15,5.2547e+05,-18.585
1.16,5.2702e+05,-18.394
1.161,5.2718e+05,-18.394
1.17,5.2857e+05,-18.394
1.18,5.3012e+05,-17.972
1.19,5.3167e+05,-18.7
1.2,5.3322e+05,-18.585
1.203,5.3368e+05,-18.62
1.21,5.3474e+05,-18.7
1.22,5.3625e+05,-18.815
1.23,5.3777e+05,-18.7
1.24,5.3928e+05,-19.007
1.246,5.4019e+05,-18.892
1.25,5.4075e+05,-18.815
1.26,5.4216e+05,-18.7
1.27,5.4357e+05,-18.815
1.28,5.4498e+05,-18.7
1.289,5.4625e+05,-18.7
1.29,5.4641e+05,-18.7
1.3,5.4803e+05,-18.394
1.31,5.4965e+05,-18.049
1.32,5.5127e+05,-18.049
1.33,5.5289e+05,-18.049
1.332,5.5321e+05,-17.949
1.34,5.5447e+05,-17.551
1.35,5.5604e+05,-17.551
1.36,5.5761e+05,-18.049
1.37,5.5918e+05,-17.972
1.377,5.6028e+05,-18.267
1.38,5.6069e+05,-18.394
1.39,5.6207e+05,-17.972
1.41,5.6483e+05,-17.972
1.41,5.6483e+05,-17.972
1.419,5.6608e+05,-18.248
1.42,5.662e+05,-18.279
1.43,5.6745e+05,-18.202
1.44,5.6869e+05,-17.857
1.45,5.6993e+05,-17.857
1.46,5.7118e+05,-17.742
1.462,5.7143e+05,-17.742
1.47,5.7276e+05,-17.742
1.48,5.7442e+05,-18.202
1.49,5.7609e+05,-18.279
1.5,5.7776e+05,-17.857
1.505,5.7859e+05,-17.761
1.51,5.7921e+05,-17.666
1.52,5.8046e+05,-17.666
1.53,5.817e+05,-17.551
1.54,5.8295e+05,-17.321
1.548,5.8394e+05,-17.505
1.55,5.8424e+05,-17.551
1.56,5.8574e+05,-18.202
1.57,5.8724e+05,-18.279
1.58,5.8874e+05,-17.742
1.59,5.9024e+05,-17.666
1.591,5.9039e+05,-17.666
1.6,5.916e+05,-17.666
