times, alts, vels, leftVel, rightVel, accels, rollAxisGrav, yawAxisGrav, pitchAxisGrav, rollAxisLin, yawAxisLin, pitchAxisLin, rollAxisGyro, yawAxisGyro, pitchAxisGyro, roll, yaw, pitch, vSPP, encPos, encPosCmd, limit_out, limit_in, encMax, encMin
60575372,24.819,21.088,0.069,0.041,21.047009,0.010,0.100,9.800,-0.030,-0.040,0.070,0.0011,-0.0022,0.0022,255.000,-0.562,0.062,231.409,-6,0,1,1,240,0,60
60576676,24.819,21.089,0.079,0.041,21.047977,0.010,0.100,9.800,-0.090,-0.070,0.080,0.0022,-0.0033,0.0011,255.000,-0.562,0.062,231.409,-6,0,1,1,240,0,60
60578050,25.130,21.090,-0.000,0.041,21.048519,0.010,0.100,9.800,-0.100,0.000,0.000,0.0022,-0.0022,-0.0011,255.000,-0.562,0.062,231.373,-6,0,1,1,240,0,60
60579032,25.130,21.090,0.020,0.041,21.048616,0.010,0.100,9.800,-0.080,0.010,0.020,0.0011,-0.0011,0.0000,255.000,-0.562,0.062,231.373,-6,0,1,1,240,0,60
60580018,25.130,21.090,0.050,0.041,21.048962,0.010,0.100,9.800,0.000,0.010,0.050,0.0033,-0.0022,0.0022,255.000,-0.562,0.062,231.373,-6,0,1,1,240,0,60
60581039,24.868,21.091,0.040,0.041,21.049423,0.010,0.100,9.800,0.020,0.000,0.040,0.0022,-0.0011,0.0000,255.000,-0.562,0.062,231.403,-6,0,1,1,240,0,60
60582222,24.868,21.091,0.040,0.041,21.049894,0.010,0.100,9.800,0.010,-0.030,0.040,0.0022,-0.0011,0.0000,255.000,-0.562,0.062,231.403,-6,0,1,1,240,0,60
60583363,24.868,21.091,-0.010,0.041,21.050062,0.010,0.100,9.800,0.010,-0.040,-0.010,-0.0022,0.0022,0.0000,255.000,-0.562,0.062,231.403,-6,0,1,1,240,0,60
60585007,24.979,21.092,0.060,0.041,21.050465,0.010,0.100,9.800,-0.010,-0.040,0.060,0.0011,0.0022,-0.0033,255.000,-0.562,0.062,231.391,-6,0,1,1,240,0,60
60586238,24.979,21.093,0.099,0.041,21.051443,0.010,0.100,9.800,0.050,-0.070,0.100,0.0000,0.0000,-0.0022,255.000,-0.562,0.062,231.391,-6,0,1,1,240,0,60
60587720,25.006,21.094,0.100,0.041,21.052917,0.010,0.100,9.800,0.000,0.020,0.100,0.0011,0.0011,0.0000,255.000,-0.562,0.062,231.387,-6,0,1,1,240,0,60
60588903,25.067,21.095,0.041,0.041,21.053751,0.010,0.100,9.800,0.010,0.060,0.040,-0.0011,0.0011,-0.0033,255.000,-0.562,0.062,231.380,-6,0,1,1,240,0,60
60590604,25.067,21.096,0.030,0.041,21.054356,0.010,0.100,9.800,-0.030,0.050,0.030,0.0022,0.0011,-0.0022,255.000,-0.562,0.062,231.380,-6,0,1,1,240,0,60
60592107,25.006,21.096,0.049,0.041,21.054955,0.010,0.100,9.800,-0.130,-0.050,0.050,0.0000,0.0000,-0.0022,255.000,-0.562,0.062,231.387,-6,0,1,1,240,0,60
60593363,25.006,21.096,-0.000,0.041,21.055262,0.010,0.100,9.800,-0.100,-0.030,0.000,-0.0033,0.0000,-0.0022,255.000,-0.562,0.062,231.387,-6,0,1,1,240,0,60
60594943,25.144,21.097,0.050,0.041,21.055651,0.010,0.100,9.800,-0.010,-0.030,0.050,-0.0011,0.0000,-0.0033,255.000,-0.562,0.062,231.371,-6,0,1,1,240,0,60
60596233,25.144,0.051,0.080,0.041,0.009477,0.010,0.100,9.800,0.040,0.000,0.080,0.0033,0.0022,-0.0011,255.000,-0.562,0.062,231.371,-6,0,1,1,240,0,60
60597324,25.144,0.051,0.060,0.041,0.009272,0.010,0.100,9.800,0.060,0.010,0.060,0.0000,0.0000,-0.0033,255.000,-0.562,0.062,231.371,-6,0,1,1,240,0,60
60598514,25.075,0.050,-0.030,0.041,0.008910,0.010,0.100,9.800,0.060,0.000,-0.030,0.0000,0.0033,-0.0033,255.000,-0.562,0.062,231.379,-6,0,1,1,240,0,60
60600357,25.075,0.050,0.059,0.041,0.009084,0.010,0.100,9.800,-0.010,-0.050,0.060,0.0011,0.0033,0.0000,255.000,-0.562,0.062,231.379,-6,0,1,1,240,0,60
